Summary,Description,Issue Type,Priority,Story Points,Sprint,Labels,Assignee
Create use-crud-list Hook,"Generic hook for CRUD list management. Accept fetchFn and searchKeys parameters, implement search filtering and form management.",Task,HIGH,24,Sprint 3: Code Quality & Maintainability,roadmap,
Refactor Events Page,Use use-crud-list hook instead of duplicate code. Import hook and remove duplicate state management and search logic.,Task,HIGH,16,Sprint 3: Code Quality & Maintainability,roadmap,
Refactor Clients Page,Use use-crud-list hook instead of duplicate code. Import hook and remove duplicate code.,Task,HIGH,16,Sprint 3: Code Quality & Maintainability,roadmap,
Refactor Staff Page,Use use-crud-list hook instead of duplicate code. Import hook and remove duplicate code.,Task,HIGH,16,Sprint 3: Code Quality & Maintainability,roadmap,
Refactor Menus Page,Use use-crud-list hook instead of duplicate code. Import hook and remove duplicate code.,Task,HIGH,16,Sprint 3: Code Quality & Maintainability,roadmap,
Regression Testing,"Test all pages for functionality after refactoring. Test search, create, edit, delete functionality on all pages.",Task,HIGH,24,Sprint 3: Code Quality & Maintainability,roadmap,
Plan Service Modularization,Design directory structure and module organization. Plan web/lib/services/ directory and list functions for each service.,Task,HIGH,8,Sprint 3: Code Quality & Maintainability,roadmap,
Extract events.ts Service,"Move event CRUD operations to separate file. Create events.ts and move createEvent, updateEvent, deleteEvent, getEvents, getEvent.",Task,HIGH,16,Sprint 3: Code Quality & Maintainability,roadmap,
Extract clients.ts Service,Move client CRUD operations to separate file. Create clients.ts and move client functions.,Task,HIGH,12,Sprint 3: Code Quality & Maintainability,roadmap,
Extract staff.ts Service,Move staff CRUD operations to separate file. Create staff.ts and move staff functions.,Task,HIGH,12,Sprint 3: Code Quality & Maintainability,roadmap,
Extract assignments.ts Service,Move staff assignments and conflict detection. Create assignments.ts and move assignment and conflict detection functions.,Task,HIGH,12,Sprint 3: Code Quality & Maintainability,roadmap,
Extract invoices.ts Service,Move invoice CRUD operations to separate file. Create invoices.ts and move invoice functions.,Task,HIGH,12,Sprint 3: Code Quality & Maintainability,roadmap,
Extract templates.ts Service,Move invoice template operations to separate file. Create templates.ts and move template functions.,Task,HIGH,8,Sprint 3: Code Quality & Maintainability,roadmap,
Extract realtime.ts Service,Move all subscriptions to separate file. Create realtime.ts and move subscription functions.,Task,HIGH,12,Sprint 3: Code Quality & Maintainability,roadmap,
Create index.ts for Re-exports,Maintain backward compatibility with re-exports. Create index.ts and re-export all services.,Task,HIGH,8,Sprint 3: Code Quality & Maintainability,roadmap,
Update All Imports Across Web App,"Update import statements to use new service structure. Update imports in all pages, components, and hooks.",Task,HIGH,24,Sprint 3: Code Quality & Maintainability,roadmap,
Regression Testing for Services,"Test all services for functionality after refactoring. Test all CRUD operations, subscriptions, and conflict detection.",Task,HIGH,16,Sprint 3: Code Quality & Maintainability,roadmap,
Create service-result.ts Type,Define ServiceResult<T> union type. Create ServiceResult type with success and failure variants.,Task,HIGH,8,Sprint 3: Code Quality & Maintainability,roadmap,
Update KDS Services,Apply ServiceResult to all KDS service functions. Update all KDS service functions to return ServiceResult<T>.,Task,HIGH,16,Sprint 3: Code Quality & Maintainability,roadmap,
Update Inventory Services,Apply ServiceResult to all inventory service functions. Update all inventory service functions to return ServiceResult<T>.,Task,HIGH,16,Sprint 3: Code Quality & Maintainability,roadmap,
Update Web ERP Services,Apply ServiceResult to all Web ERP service functions. Update all service functions to return ServiceResult<T>.,Task,HIGH,24,Sprint 3: Code Quality & Maintainability,roadmap,
Update UI Components,Update components to handle new error format. Update form and page components to handle success/error uniformly.,Task,HIGH,24,Sprint 3: Code Quality & Maintainability,roadmap,
Test Error Handling,"Test error handling across all services. Test successful operations, failed operations, error messages, and error recovery.",Task,HIGH,16,Sprint 3: Code Quality & Maintainability,roadmap,
Analyze Both Queue Implementations,Document differences between two offline queue systems. Review lib/offline-queue.ts and shared/offline-sync-manager.ts.,Task,HIGH,12,Sprint 4: Offline Sync & Scalability,roadmap,
Deprecate Simple offline-queue.ts,Mark simple queue as deprecated. Add @deprecated JSDoc comment and migration guide.,Task,HIGH,8,Sprint 4: Offline Sync & Scalability,roadmap,
Migrate KDS to OfflineSyncManager,Update KDS context to use comprehensive offline system. Import OfflineSyncManager and replace simple queue.,Task,HIGH,24,Sprint 4: Offline Sync & Scalability,roadmap,
Create offline-sync-helpers.ts,"Add KDS-specific operation helpers. Create helpers for bumpItem, fireCourse, and markCoursePlated.",Task,HIGH,16,Sprint 4: Offline Sync & Scalability,roadmap,
Test Offline KDS Operations,"Test complete offline workflow. Test bump item offline, fire course offline, and sync on reconnect.",Task,HIGH,16,Sprint 4: Offline Sync & Scalability,roadmap,
Design Conflict Detection Strategy,Document how to detect conflicts (HTTP 409). Document 409 response handling and conflict data structure.,Task,HIGH,12,Sprint 4: Offline Sync & Scalability,roadmap,
Implement Conflict Detection in Sync Manager,Catch 409 responses and trigger conflict handling. Extract server data from response and trigger conflict resolution flow.,Task,HIGH,16,Sprint 4: Offline Sync & Scalability,roadmap,
Implement Client-Wins Strategy,Force update with client data on conflict. Implement client-wins resolver and force update with client data.,Task,HIGH,12,Sprint 4: Offline Sync & Scalability,roadmap,
Implement Server-Wins Strategy,Accept server data and discard client changes. Implement server-wins resolver and accept server data.,Task,HIGH,12,Sprint 4: Offline Sync & Scalability,roadmap,
Implement Manual Strategy with Resolver,Allow custom merge logic for conflicts. Implement manual resolver and allow custom merge function.,Task,HIGH,16,Sprint 4: Offline Sync & Scalability,roadmap,
Add Conflict UI (Web + Mobile),Show conflict dialog with resolution options. Create ConflictResolutionDialog (web) and ConflictResolutionSheet (mobile).,Task,HIGH,16,Sprint 4: Offline Sync & Scalability,roadmap,
Test Conflict Scenarios,"Test concurrent edits and conflict resolution. Test concurrent updates, client-wins, server-wins, and manual resolution.",Task,HIGH,16,Sprint 4: Offline Sync & Scalability,roadmap,
Design Filter Parameter Structure,Define query parameter format for filters. Design filter object structure and define parameter names.,Task,HIGH,8,Sprint 4: Offline Sync & Scalability,roadmap,
Update getEvents() with Filters,"Add search, status, and date range filters. Implement Supabase query with filters.",Task,HIGH,16,Sprint 4: Offline Sync & Scalability,roadmap,
Update getStaff() with Filters,"Add search, department, and status filters. Implement Supabase query with filters.",Task,HIGH,12,Sprint 4: Offline Sync & Scalability,roadmap,
Update getClients() with Filters,Add search and status filters. Implement Supabase query with filters.,Task,HIGH,12,Sprint 4: Offline Sync & Scalability,roadmap,
Add Pagination to All Queries,Implement limit/offset pagination. Add limit and offset parameters to all queries.,Task,HIGH,16,Sprint 4: Offline Sync & Scalability,roadmap,
Update UI to Use Server Filters,"Replace client-side filtering with server calls. Update Events, Staff, and Clients pages.",Task,HIGH,16,Sprint 4: Offline Sync & Scalability,roadmap,
Performance Testing with Large Datasets,"Test performance with 10,000+ records. Create test data and measure response times.",Task,HIGH,16,Sprint 4: Offline Sync & Scalability,roadmap,
Create event-schema.ts,Define Zod schema for event validation. Create EventSchema with all required fields and validation rules.,Task,HIGH,12,Sprint 4: Offline Sync & Scalability,roadmap,
Create staff-schema.ts,Define Zod schema for staff validation. Create StaffSchema with all required fields and validation rules.,Task,HIGH,8,Sprint 4: Offline Sync & Scalability,roadmap,
Create client-schema.ts,Define Zod schema for client validation. Create ClientSchema with all required fields and validation rules.,Task,HIGH,8,Sprint 4: Offline Sync & Scalability,roadmap,
Create invoice-schema.ts,Define Zod schema for invoice validation. Create InvoiceSchema with all required fields and validation rules.,Task,HIGH,8,Sprint 4: Offline Sync & Scalability,roadmap,
Integrate Validation into Event Forms,Add Zod validation to event form. Validate on submit and show validation errors.,Task,HIGH,16,Sprint 4: Offline Sync & Scalability,roadmap,
Integrate Validation into Staff Forms,Add Zod validation to staff form. Validate on submit and show validation errors.,Task,HIGH,12,Sprint 4: Offline Sync & Scalability,roadmap,
Integrate Validation into Client Forms,Add Zod validation to client form. Validate on submit and show validation errors.,Task,HIGH,12,Sprint 4: Offline Sync & Scalability,roadmap,
Integrate Validation into Invoice Forms,Add Zod validation to invoice form. Validate on submit and show validation errors.,Task,HIGH,12,Sprint 4: Offline Sync & Scalability,roadmap,
Test All Validation Rules,Test validation with valid and invalid inputs. Test all validation rules and error messages.,Task,HIGH,16,Sprint 4: Offline Sync & Scalability,roadmap,
