Item Name,Description,Status,Priority,Story Points,Sprint,Effort Hours,Dependencies
Write Rollback Test Cases,"Create test suite for inventory rollback scenarios. Test successful bump + decrement, decrement failure, network errors, and database errors.",To Do,HIGH,24,Sprint 1: Critical Blockers & Fixes,3,1.B.3
Profile Current KDS Queries,"Identify N+1 query pattern in KDS context. Enable query logging, load event with multiple fired courses, count total queries executed.",To Do,HIGH,8,Sprint 1: Critical Blockers & Fixes,1,
Implement Batch Query for Order Items,Load all order items in single query instead of per-course. Replace per-course queries with single batch query using .in() filter.,To Do,HIGH,16,Sprint 1: Critical Blockers & Fixes,2,1.C.1
Implement Client-Side Grouping,Group items by fired course after batch fetch. Create grouping function and group items by fired_course_id.,To Do,HIGH,12,Sprint 1: Critical Blockers & Fixes,1.5,1.C.2
Performance Benchmark,Measure query performance improvement. Measure query time before/after optimization and calculate improvement percentage.,To Do,HIGH,8,Sprint 1: Critical Blockers & Fixes,1,1.C.3
Design Unified Auth Flow,Document integration points between Manus OAuth and Supabase Auth. Create unified flow diagram and document token exchange process.,To Do,URGENT,16,Sprint 2: Authentication & Security,2,
Update Backend OAuth Endpoint,Return both Manus and Supabase tokens from login. Modify /api/auth/login endpoint to generate Supabase token on Manus login.,To Do,URGENT,24,Sprint 2: Authentication & Security,3,2.A.1
Update use-auth.ts Hook,Integrate hook with Supabase session. Store both Manus and Supabase tokens and sync session state.,To Do,URGENT,16,Sprint 2: Authentication & Security,2,2.A.2
Update auth-context.tsx,"Remove duplicate auth logic, use unified flow. Remove duplicate auth state and use single auth context.",To Do,URGENT,16,Sprint 2: Authentication & Security,2,2.A.3
Test Unified Auth Flow,Test login on mobile and web. Verify both Manus and Supabase sessions created and work correctly.,To Do,HIGH,24,Sprint 2: Authentication & Security,3,2.A.4
Remove Deprecated Auth Code,"Clean up old authentication implementations. Identify and remove deprecated code, old auth contexts, and old auth hooks.",To Do,HIGH,8,Sprint 2: Authentication & Security,1,2.A.5
Design Token Storage Format,Define structure for storing tokens with expiration. Define StoredToken interface and document storage location.,To Do,HIGH,8,Sprint 2: Authentication & Security,1,
Implement getValidToken() Function,Check expiration and refresh if needed. Create getValidToken() function that checks if token expired and calls refresh endpoint if needed.,To Do,HIGH,16,Sprint 2: Authentication & Security,2,2.B.1
Add Backend Refresh Endpoint,Create POST /api/auth/refresh endpoint. Accept refreshToken parameter and return new token and refreshToken.,To Do,HIGH,16,Sprint 2: Authentication & Security,2,2.B.1
Integrate Refresh into API Calls,Auto-refresh before each API call. Update API client to call getValidToken() before making request.,To Do,HIGH,16,Sprint 2: Authentication & Security,2,2.B.2; 2.B.3
Test Token Expiration Scenarios,"Test all token refresh scenarios. Test with valid token, expired token, expiring soon token, and refresh failure.",To Do,HIGH,16,Sprint 2: Authentication & Security,2,2.B.4
Add CSRF Token Generation on Backend,Generate and set CSRF token cookie on login. Generate random CSRF token and set as httpOnly cookie with secure flag.,To Do,HIGH,16,Sprint 2: Authentication & Security,2,
Add CSRF Validation Middleware,Validate CSRF token on all mutations. Create validateCsrfToken middleware and apply to all POST/PUT/DELETE routes.,To Do,HIGH,16,Sprint 2: Authentication & Security,2,2.C.1
Update API Client to Include CSRF Token,Read CSRF token from cookie and add to headers. Create getCsrfToken() function and add to X-CSRF-Token header.,To Do,HIGH,16,Sprint 2: Authentication & Security,2,2.C.1
Test CSRF Protection,"Verify CSRF protection works. Test valid token accepted, missing token rejected, invalid token rejected.",To Do,HIGH,16,Sprint 2: Authentication & Security,2,2.C.3
Create service-types.ts with All Interfaces,"Define TypeScript interfaces for all service parameters. Create EventParams, UpdateEventParams, StaffParams, ClientParams, InvoiceParams, and MenuItemParams interfaces.",To Do,HIGH,24,Sprint 3: Code Quality & Maintainability,3,
Update Event Service Functions,"Apply EventParams types to all event functions. Update createEvent(), updateEvent(), getEvents(), and getEvent() signatures.",To Do,HIGH,16,Sprint 3: Code Quality & Maintainability,2,3.A.1
Update Staff Service Functions,"Apply StaffParams types to all staff functions. Update createStaff(), updateStaff(), and getStaff() signatures.",To Do,HIGH,16,Sprint 3: Code Quality & Maintainability,2,3.A.1
Update Client Service Functions,"Apply ClientParams types to all client functions. Update createClient(), updateClient(), and getClients() signatures.",To Do,HIGH,12,Sprint 3: Code Quality & Maintainability,1.5,3.A.1
Update Invoice Service Functions,"Apply InvoiceParams types to all invoice functions. Update createInvoice(), updateInvoice(), and getInvoices() signatures.",To Do,HIGH,12,Sprint 3: Code Quality & Maintainability,1.5,3.A.1
Fix TypeScript Errors in Components,"Update form components to use typed services. Update EventForm, StaffForm, ClientForm, and InvoiceForm components.",To Do,HIGH,16,Sprint 3: Code Quality & Maintainability,2,3.A.2; 3.A.3; 3.A.4; 3.A.5
Create use-crud-list Hook,"Generic hook for CRUD list management. Accept fetchFn and searchKeys parameters, implement search filtering and form management.",To Do,HIGH,24,Sprint 3: Code Quality & Maintainability,3,
Refactor Events Page,Use use-crud-list hook instead of duplicate code. Import hook and remove duplicate state management and search logic.,To Do,HIGH,16,Sprint 3: Code Quality & Maintainability,2,3.B.1
Refactor Clients Page,Use use-crud-list hook instead of duplicate code. Import hook and remove duplicate code.,To Do,HIGH,16,Sprint 3: Code Quality & Maintainability,2,3.B.1
Refactor Staff Page,Use use-crud-list hook instead of duplicate code. Import hook and remove duplicate code.,To Do,HIGH,16,Sprint 3: Code Quality & Maintainability,2,3.B.1
Refactor Menus Page,Use use-crud-list hook instead of duplicate code. Import hook and remove duplicate code.,To Do,HIGH,16,Sprint 3: Code Quality & Maintainability,2,3.B.1
Regression Testing,"Test all pages for functionality after refactoring. Test search, create, edit, delete functionality on all pages.",To Do,HIGH,24,Sprint 3: Code Quality & Maintainability,3,3.B.2; 3.B.3; 3.B.4; 3.B.5
Plan Service Modularization,Design directory structure and module organization. Plan web/lib/services/ directory and list functions for each service.,To Do,HIGH,8,Sprint 3: Code Quality & Maintainability,1,
Extract events.ts Service,"Move event CRUD operations to separate file. Create events.ts and move createEvent, updateEvent, deleteEvent, getEvents, getEvent.",To Do,HIGH,16,Sprint 3: Code Quality & Maintainability,2,3.C.1
Extract clients.ts Service,Move client CRUD operations to separate file. Create clients.ts and move client functions.,To Do,HIGH,12,Sprint 3: Code Quality & Maintainability,1.5,3.C.1
Extract staff.ts Service,Move staff CRUD operations to separate file. Create staff.ts and move staff functions.,To Do,HIGH,12,Sprint 3: Code Quality & Maintainability,1.5,3.C.1
Extract assignments.ts Service,Move staff assignments and conflict detection. Create assignments.ts and move assignment and conflict detection functions.,To Do,HIGH,12,Sprint 3: Code Quality & Maintainability,1.5,3.C.1
Extract invoices.ts Service,Move invoice CRUD operations to separate file. Create invoices.ts and move invoice functions.,To Do,HIGH,12,Sprint 3: Code Quality & Maintainability,1.5,3.C.1
Extract templates.ts Service,Move invoice template operations to separate file. Create templates.ts and move template functions.,To Do,HIGH,8,Sprint 3: Code Quality & Maintainability,1,3.C.1
Extract realtime.ts Service,Move all subscriptions to separate file. Create realtime.ts and move subscription functions.,To Do,HIGH,12,Sprint 3: Code Quality & Maintainability,1.5,3.C.1
Create index.ts for Re-exports,Maintain backward compatibility with re-exports. Create index.ts and re-export all services.,To Do,HIGH,8,Sprint 3: Code Quality & Maintainability,1,3.C.2; 3.C.3; 3.C.4; 3.C.5; 3.C.6; 3.C.7; 3.C.8
Update All Imports Across Web App,"Update import statements to use new service structure. Update imports in all pages, components, and hooks.",To Do,HIGH,24,Sprint 3: Code Quality & Maintainability,3,3.C.9
Regression Testing for Services,"Test all services for functionality after refactoring. Test all CRUD operations, subscriptions, and conflict detection.",To Do,HIGH,16,Sprint 3: Code Quality & Maintainability,2,3.C.10
Create service-result.ts Type,Define ServiceResult<T> union type. Create ServiceResult type with success and failure variants.,To Do,HIGH,8,Sprint 3: Code Quality & Maintainability,1,
Update KDS Services,Apply ServiceResult to all KDS service functions. Update all KDS service functions to return ServiceResult<T>.,To Do,HIGH,16,Sprint 3: Code Quality & Maintainability,2,3.D.1
Update Inventory Services,Apply ServiceResult to all inventory service functions. Update all inventory service functions to return ServiceResult<T>.,To Do,HIGH,16,Sprint 3: Code Quality & Maintainability,2,3.D.1
Update Web ERP Services,Apply ServiceResult to all Web ERP service functions. Update all service functions to return ServiceResult<T>.,To Do,HIGH,24,Sprint 3: Code Quality & Maintainability,3,3.D.1
Update UI Components,Update components to handle new error format. Update form and page components to handle success/error uniformly.,To Do,HIGH,24,Sprint 3: Code Quality & Maintainability,3,3.D.4
Test Error Handling,"Test error handling across all services. Test successful operations, failed operations, error messages, and error recovery.",To Do,HIGH,16,Sprint 3: Code Quality & Maintainability,2,3.D.5
Analyze Both Queue Implementations,Document differences between two offline queue systems. Review lib/offline-queue.ts and shared/offline-sync-manager.ts.,To Do,HIGH,12,Sprint 4: Offline Sync & Scalability,1.5,
Deprecate Simple offline-queue.ts,Mark simple queue as deprecated. Add @deprecated JSDoc comment and migration guide.,To Do,HIGH,8,Sprint 4: Offline Sync & Scalability,1,4.A.1
Migrate KDS to OfflineSyncManager,Update KDS context to use comprehensive offline system. Import OfflineSyncManager and replace simple queue.,To Do,HIGH,24,Sprint 4: Offline Sync & Scalability,3,4.A.1
Create offline-sync-helpers.ts,"Add KDS-specific operation helpers. Create helpers for bumpItem, fireCourse, and markCoursePlated.",To Do,HIGH,16,Sprint 4: Offline Sync & Scalability,2,4.A.3
Test Offline KDS Operations,"Test complete offline workflow. Test bump item offline, fire course offline, and sync on reconnect.",To Do,HIGH,16,Sprint 4: Offline Sync & Scalability,2,4.A.4
Design Conflict Detection Strategy,Document how to detect conflicts (HTTP 409). Document 409 response handling and conflict data structure.,To Do,HIGH,12,Sprint 4: Offline Sync & Scalability,1.5,
Implement Conflict Detection in Sync Manager,Catch 409 responses and trigger conflict handling. Extract server data from response and trigger conflict resolution flow.,To Do,HIGH,16,Sprint 4: Offline Sync & Scalability,2,4.B.1
Implement Client-Wins Strategy,Force update with client data on conflict. Implement client-wins resolver and force update with client data.,To Do,HIGH,12,Sprint 4: Offline Sync & Scalability,1.5,4.B.2
Implement Server-Wins Strategy,Accept server data and discard client changes. Implement server-wins resolver and accept server data.,To Do,HIGH,12,Sprint 4: Offline Sync & Scalability,1.5,4.B.2
Implement Manual Strategy with Resolver,Allow custom merge logic for conflicts. Implement manual resolver and allow custom merge function.,To Do,HIGH,16,Sprint 4: Offline Sync & Scalability,2,4.B.2
Add Conflict UI (Web + Mobile),Show conflict dialog with resolution options. Create ConflictResolutionDialog (web) and ConflictResolutionSheet (mobile).,To Do,HIGH,16,Sprint 4: Offline Sync & Scalability,2,4.B.5
Test Conflict Scenarios,"Test concurrent edits and conflict resolution. Test concurrent updates, client-wins, server-wins, and manual resolution.",To Do,HIGH,16,Sprint 4: Offline Sync & Scalability,2,4.B.6
Design Filter Parameter Structure,Define query parameter format for filters. Design filter object structure and define parameter names.,To Do,HIGH,8,Sprint 4: Offline Sync & Scalability,1,
Update getEvents() with Filters,"Add search, status, and date range filters. Implement Supabase query with filters.",To Do,HIGH,16,Sprint 4: Offline Sync & Scalability,2,4.C.1
Update getStaff() with Filters,"Add search, department, and status filters. Implement Supabase query with filters.",To Do,HIGH,12,Sprint 4: Offline Sync & Scalability,1.5,4.C.1
Update getClients() with Filters,Add search and status filters. Implement Supabase query with filters.,To Do,HIGH,12,Sprint 4: Offline Sync & Scalability,1.5,4.C.1
Add Pagination to All Queries,Implement limit/offset pagination. Add limit and offset parameters to all queries.,To Do,HIGH,16,Sprint 4: Offline Sync & Scalability,2,4.C.2; 4.C.3; 4.C.4
Update UI to Use Server Filters,"Replace client-side filtering with server calls. Update Events, Staff, and Clients pages.",To Do,HIGH,16,Sprint 4: Offline Sync & Scalability,2,4.C.5
Performance Testing with Large Datasets,"Test performance with 10,000+ records. Create test data and measure response times.",To Do,HIGH,16,Sprint 4: Offline Sync & Scalability,2,4.C.6
Create event-schema.ts,Define Zod schema for event validation. Create EventSchema with all required fields and validation rules.,To Do,HIGH,12,Sprint 4: Offline Sync & Scalability,1.5,
Create staff-schema.ts,Define Zod schema for staff validation. Create StaffSchema with all required fields and validation rules.,To Do,HIGH,8,Sprint 4: Offline Sync & Scalability,1,
Create client-schema.ts,Define Zod schema for client validation. Create ClientSchema with all required fields and validation rules.,To Do,HIGH,8,Sprint 4: Offline Sync & Scalability,1,
Create invoice-schema.ts,Define Zod schema for invoice validation. Create InvoiceSchema with all required fields and validation rules.,To Do,HIGH,8,Sprint 4: Offline Sync & Scalability,1,
Integrate Validation into Event Forms,Add Zod validation to event form. Validate on submit and show validation errors.,To Do,HIGH,16,Sprint 4: Offline Sync & Scalability,2,4.D.1
Integrate Validation into Staff Forms,Add Zod validation to staff form. Validate on submit and show validation errors.,To Do,HIGH,12,Sprint 4: Offline Sync & Scalability,1.5,4.D.2
Integrate Validation into Client Forms,Add Zod validation to client form. Validate on submit and show validation errors.,To Do,HIGH,12,Sprint 4: Offline Sync & Scalability,1.5,4.D.3
Integrate Validation into Invoice Forms,Add Zod validation to invoice form. Validate on submit and show validation errors.,To Do,HIGH,12,Sprint 4: Offline Sync & Scalability,1.5,4.D.4
Test All Validation Rules,Test validation with valid and invalid inputs. Test all validation rules and error messages.,To Do,HIGH,16,Sprint 4: Offline Sync & Scalability,2,4.D.5; 4.D.6; 4.D.7; 4.D.8
