Task Name,Description,Assignee,Due Date,Priority,Custom: Story Points,Custom: Sprint,Custom: Dependencies
Refactor Clients Page,Use use-crud-list hook instead of duplicate code. Import hook and remove duplicate code.,,,HIGH,16,Sprint 3: Code Quality & Maintainability,3.B.1
Refactor Staff Page,Use use-crud-list hook instead of duplicate code. Import hook and remove duplicate code.,,,HIGH,16,Sprint 3: Code Quality & Maintainability,3.B.1
Refactor Menus Page,Use use-crud-list hook instead of duplicate code. Import hook and remove duplicate code.,,,HIGH,16,Sprint 3: Code Quality & Maintainability,3.B.1
Regression Testing,"Test all pages for functionality after refactoring. Test search, create, edit, delete functionality on all pages.",,,HIGH,24,Sprint 3: Code Quality & Maintainability,3.B.2; 3.B.3; 3.B.4; 3.B.5
Plan Service Modularization,Design directory structure and module organization. Plan web/lib/services/ directory and list functions for each service.,,,HIGH,8,Sprint 3: Code Quality & Maintainability,
Extract events.ts Service,"Move event CRUD operations to separate file. Create events.ts and move createEvent, updateEvent, deleteEvent, getEvents, getEvent.",,,HIGH,16,Sprint 3: Code Quality & Maintainability,3.C.1
Extract clients.ts Service,Move client CRUD operations to separate file. Create clients.ts and move client functions.,,,HIGH,12,Sprint 3: Code Quality & Maintainability,3.C.1
Extract staff.ts Service,Move staff CRUD operations to separate file. Create staff.ts and move staff functions.,,,HIGH,12,Sprint 3: Code Quality & Maintainability,3.C.1
Extract assignments.ts Service,Move staff assignments and conflict detection. Create assignments.ts and move assignment and conflict detection functions.,,,HIGH,12,Sprint 3: Code Quality & Maintainability,3.C.1
Extract invoices.ts Service,Move invoice CRUD operations to separate file. Create invoices.ts and move invoice functions.,,,HIGH,12,Sprint 3: Code Quality & Maintainability,3.C.1
Extract templates.ts Service,Move invoice template operations to separate file. Create templates.ts and move template functions.,,,HIGH,8,Sprint 3: Code Quality & Maintainability,3.C.1
Extract realtime.ts Service,Move all subscriptions to separate file. Create realtime.ts and move subscription functions.,,,HIGH,12,Sprint 3: Code Quality & Maintainability,3.C.1
Create index.ts for Re-exports,Maintain backward compatibility with re-exports. Create index.ts and re-export all services.,,,HIGH,8,Sprint 3: Code Quality & Maintainability,3.C.2; 3.C.3; 3.C.4; 3.C.5; 3.C.6; 3.C.7; 3.C.8
Update All Imports Across Web App,"Update import statements to use new service structure. Update imports in all pages, components, and hooks.",,,HIGH,24,Sprint 3: Code Quality & Maintainability,3.C.9
Regression Testing for Services,"Test all services for functionality after refactoring. Test all CRUD operations, subscriptions, and conflict detection.",,,HIGH,16,Sprint 3: Code Quality & Maintainability,3.C.10
Create service-result.ts Type,Define ServiceResult<T> union type. Create ServiceResult type with success and failure variants.,,,HIGH,8,Sprint 3: Code Quality & Maintainability,
Update KDS Services,Apply ServiceResult to all KDS service functions. Update all KDS service functions to return ServiceResult<T>.,,,HIGH,16,Sprint 3: Code Quality & Maintainability,3.D.1
Update Inventory Services,Apply ServiceResult to all inventory service functions. Update all inventory service functions to return ServiceResult<T>.,,,HIGH,16,Sprint 3: Code Quality & Maintainability,3.D.1
Update Web ERP Services,Apply ServiceResult to all Web ERP service functions. Update all service functions to return ServiceResult<T>.,,,HIGH,24,Sprint 3: Code Quality & Maintainability,3.D.1
Update UI Components,Update components to handle new error format. Update form and page components to handle success/error uniformly.,,,HIGH,24,Sprint 3: Code Quality & Maintainability,3.D.4
Test Error Handling,"Test error handling across all services. Test successful operations, failed operations, error messages, and error recovery.",,,HIGH,16,Sprint 3: Code Quality & Maintainability,3.D.5
Analyze Both Queue Implementations,Document differences between two offline queue systems. Review lib/offline-queue.ts and shared/offline-sync-manager.ts.,,,HIGH,12,Sprint 4: Offline Sync & Scalability,
Deprecate Simple offline-queue.ts,Mark simple queue as deprecated. Add @deprecated JSDoc comment and migration guide.,,,HIGH,8,Sprint 4: Offline Sync & Scalability,4.A.1
Migrate KDS to OfflineSyncManager,Update KDS context to use comprehensive offline system. Import OfflineSyncManager and replace simple queue.,,,HIGH,24,Sprint 4: Offline Sync & Scalability,4.A.1
Create offline-sync-helpers.ts,"Add KDS-specific operation helpers. Create helpers for bumpItem, fireCourse, and markCoursePlated.",,,HIGH,16,Sprint 4: Offline Sync & Scalability,4.A.3
Test Offline KDS Operations,"Test complete offline workflow. Test bump item offline, fire course offline, and sync on reconnect.",,,HIGH,16,Sprint 4: Offline Sync & Scalability,4.A.4
Design Conflict Detection Strategy,Document how to detect conflicts (HTTP 409). Document 409 response handling and conflict data structure.,,,HIGH,12,Sprint 4: Offline Sync & Scalability,
Implement Conflict Detection in Sync Manager,Catch 409 responses and trigger conflict handling. Extract server data from response and trigger conflict resolution flow.,,,HIGH,16,Sprint 4: Offline Sync & Scalability,4.B.1
Implement Client-Wins Strategy,Force update with client data on conflict. Implement client-wins resolver and force update with client data.,,,HIGH,12,Sprint 4: Offline Sync & Scalability,4.B.2
Implement Server-Wins Strategy,Accept server data and discard client changes. Implement server-wins resolver and accept server data.,,,HIGH,12,Sprint 4: Offline Sync & Scalability,4.B.2
Implement Manual Strategy with Resolver,Allow custom merge logic for conflicts. Implement manual resolver and allow custom merge function.,,,HIGH,16,Sprint 4: Offline Sync & Scalability,4.B.2
Add Conflict UI (Web + Mobile),Show conflict dialog with resolution options. Create ConflictResolutionDialog (web) and ConflictResolutionSheet (mobile).,,,HIGH,16,Sprint 4: Offline Sync & Scalability,4.B.5
Test Conflict Scenarios,"Test concurrent edits and conflict resolution. Test concurrent updates, client-wins, server-wins, and manual resolution.",,,HIGH,16,Sprint 4: Offline Sync & Scalability,4.B.6
Design Filter Parameter Structure,Define query parameter format for filters. Design filter object structure and define parameter names.,,,HIGH,8,Sprint 4: Offline Sync & Scalability,
Update getEvents() with Filters,"Add search, status, and date range filters. Implement Supabase query with filters.",,,HIGH,16,Sprint 4: Offline Sync & Scalability,4.C.1
Update getStaff() with Filters,"Add search, department, and status filters. Implement Supabase query with filters.",,,HIGH,12,Sprint 4: Offline Sync & Scalability,4.C.1
Update getClients() with Filters,Add search and status filters. Implement Supabase query with filters.,,,HIGH,12,Sprint 4: Offline Sync & Scalability,4.C.1
Add Pagination to All Queries,Implement limit/offset pagination. Add limit and offset parameters to all queries.,,,HIGH,16,Sprint 4: Offline Sync & Scalability,4.C.2; 4.C.3; 4.C.4
Update UI to Use Server Filters,"Replace client-side filtering with server calls. Update Events, Staff, and Clients pages.",,,HIGH,16,Sprint 4: Offline Sync & Scalability,4.C.5
Performance Testing with Large Datasets,"Test performance with 10,000+ records. Create test data and measure response times.",,,HIGH,16,Sprint 4: Offline Sync & Scalability,4.C.6
Create event-schema.ts,Define Zod schema for event validation. Create EventSchema with all required fields and validation rules.,,,HIGH,12,Sprint 4: Offline Sync & Scalability,
Create staff-schema.ts,Define Zod schema for staff validation. Create StaffSchema with all required fields and validation rules.,,,HIGH,8,Sprint 4: Offline Sync & Scalability,
Create client-schema.ts,Define Zod schema for client validation. Create ClientSchema with all required fields and validation rules.,,,HIGH,8,Sprint 4: Offline Sync & Scalability,
Create invoice-schema.ts,Define Zod schema for invoice validation. Create InvoiceSchema with all required fields and validation rules.,,,HIGH,8,Sprint 4: Offline Sync & Scalability,
Integrate Validation into Event Forms,Add Zod validation to event form. Validate on submit and show validation errors.,,,HIGH,16,Sprint 4: Offline Sync & Scalability,4.D.1
Integrate Validation into Staff Forms,Add Zod validation to staff form. Validate on submit and show validation errors.,,,HIGH,12,Sprint 4: Offline Sync & Scalability,4.D.2
Integrate Validation into Client Forms,Add Zod validation to client form. Validate on submit and show validation errors.,,,HIGH,12,Sprint 4: Offline Sync & Scalability,4.D.3
Integrate Validation into Invoice Forms,Add Zod validation to invoice form. Validate on submit and show validation errors.,,,HIGH,12,Sprint 4: Offline Sync & Scalability,4.D.4
Test All Validation Rules,Test validation with valid and invalid inputs. Test all validation rules and error messages.,,,HIGH,16,Sprint 4: Offline Sync & Scalability,4.D.5; 4.D.6; 4.D.7; 4.D.8
