Sprint,Issue ID,Title,Description,Priority,Effort Hours,Story Points,Status,Related Files,Dependencies
Sprint 3: Code Quality & Maintainability,3.B.5,Refactor Menus Page,Use use-crud-list hook instead of duplicate code. Import hook and remove duplicate code.,HIGH,2,16,To Do,web/app/menus/page.tsx,3.B.1
Sprint 3: Code Quality & Maintainability,3.B.6,Regression Testing,"Test all pages for functionality after refactoring. Test search, create, edit, delete functionality on all pages.",HIGH,3,24,To Do,,3.B.2; 3.B.3; 3.B.4; 3.B.5
Sprint 3: Code Quality & Maintainability,3.C.1,Plan Service Modularization,Design directory structure and module organization. Plan web/lib/services/ directory and list functions for each service.,HIGH,1,8,To Do,,
Sprint 3: Code Quality & Maintainability,3.C.2,Extract events.ts Service,"Move event CRUD operations to separate file. Create events.ts and move createEvent, updateEvent, deleteEvent, getEvents, getEvent.",HIGH,2,16,To Do,web/lib/services/events.ts,3.C.1
Sprint 3: Code Quality & Maintainability,3.C.3,Extract clients.ts Service,Move client CRUD operations to separate file. Create clients.ts and move client functions.,HIGH,1.5,12,To Do,web/lib/services/clients.ts,3.C.1
Sprint 3: Code Quality & Maintainability,3.C.4,Extract staff.ts Service,Move staff CRUD operations to separate file. Create staff.ts and move staff functions.,HIGH,1.5,12,To Do,web/lib/services/staff.ts,3.C.1
Sprint 3: Code Quality & Maintainability,3.C.5,Extract assignments.ts Service,Move staff assignments and conflict detection. Create assignments.ts and move assignment and conflict detection functions.,HIGH,1.5,12,To Do,web/lib/services/assignments.ts,3.C.1
Sprint 3: Code Quality & Maintainability,3.C.6,Extract invoices.ts Service,Move invoice CRUD operations to separate file. Create invoices.ts and move invoice functions.,HIGH,1.5,12,To Do,web/lib/services/invoices.ts,3.C.1
Sprint 3: Code Quality & Maintainability,3.C.7,Extract templates.ts Service,Move invoice template operations to separate file. Create templates.ts and move template functions.,HIGH,1,8,To Do,web/lib/services/templates.ts,3.C.1
Sprint 3: Code Quality & Maintainability,3.C.8,Extract realtime.ts Service,Move all subscriptions to separate file. Create realtime.ts and move subscription functions.,HIGH,1.5,12,To Do,web/lib/services/realtime.ts,3.C.1
Sprint 3: Code Quality & Maintainability,3.C.9,Create index.ts for Re-exports,Maintain backward compatibility with re-exports. Create index.ts and re-export all services.,HIGH,1,8,To Do,web/lib/services/index.ts,3.C.2; 3.C.3; 3.C.4; 3.C.5; 3.C.6; 3.C.7; 3.C.8
Sprint 3: Code Quality & Maintainability,3.C.10,Update All Imports Across Web App,"Update import statements to use new service structure. Update imports in all pages, components, and hooks.",HIGH,3,24,To Do,,3.C.9
Sprint 3: Code Quality & Maintainability,3.C.11,Regression Testing for Services,"Test all services for functionality after refactoring. Test all CRUD operations, subscriptions, and conflict detection.",HIGH,2,16,To Do,,3.C.10
Sprint 3: Code Quality & Maintainability,3.D.1,Create service-result.ts Type,Define ServiceResult<T> union type. Create ServiceResult type with success and failure variants.,HIGH,1,8,To Do,web/lib/types/service-result.ts,
Sprint 3: Code Quality & Maintainability,3.D.2,Update KDS Services,Apply ServiceResult to all KDS service functions. Update all KDS service functions to return ServiceResult<T>.,HIGH,2,16,To Do,lib/supabase-kds.ts,3.D.1
Sprint 3: Code Quality & Maintainability,3.D.3,Update Inventory Services,Apply ServiceResult to all inventory service functions. Update all inventory service functions to return ServiceResult<T>.,HIGH,2,16,To Do,lib/supabase-inventory.ts,3.D.1
Sprint 3: Code Quality & Maintainability,3.D.4,Update Web ERP Services,Apply ServiceResult to all Web ERP service functions. Update all service functions to return ServiceResult<T>.,HIGH,3,24,To Do,web/lib/services/,3.D.1
Sprint 3: Code Quality & Maintainability,3.D.5,Update UI Components,Update components to handle new error format. Update form and page components to handle success/error uniformly.,HIGH,3,24,To Do,,3.D.4
Sprint 3: Code Quality & Maintainability,3.D.6,Test Error Handling,"Test error handling across all services. Test successful operations, failed operations, error messages, and error recovery.",HIGH,2,16,To Do,,3.D.5
Sprint 4: Offline Sync & Scalability,4.A.1,Analyze Both Queue Implementations,Document differences between two offline queue systems. Review lib/offline-queue.ts and shared/offline-sync-manager.ts.,HIGH,1.5,12,To Do,lib/offline-queue.ts; shared/offline-sync-manager.ts,
Sprint 4: Offline Sync & Scalability,4.A.2,Deprecate Simple offline-queue.ts,Mark simple queue as deprecated. Add @deprecated JSDoc comment and migration guide.,HIGH,1,8,To Do,lib/offline-queue.ts,4.A.1
Sprint 4: Offline Sync & Scalability,4.A.3,Migrate KDS to OfflineSyncManager,Update KDS context to use comprehensive offline system. Import OfflineSyncManager and replace simple queue.,HIGH,3,24,To Do,lib/kds-context-with-inventory.tsx,4.A.1
Sprint 4: Offline Sync & Scalability,4.A.4,Create offline-sync-helpers.ts,"Add KDS-specific operation helpers. Create helpers for bumpItem, fireCourse, and markCoursePlated.",HIGH,2,16,To Do,shared/offline-sync-helpers.ts,4.A.3
Sprint 4: Offline Sync & Scalability,4.A.5,Test Offline KDS Operations,"Test complete offline workflow. Test bump item offline, fire course offline, and sync on reconnect.",HIGH,2,16,To Do,,4.A.4
Sprint 4: Offline Sync & Scalability,4.B.1,Design Conflict Detection Strategy,Document how to detect conflicts (HTTP 409). Document 409 response handling and conflict data structure.,HIGH,1.5,12,To Do,,
Sprint 4: Offline Sync & Scalability,4.B.2,Implement Conflict Detection in Sync Manager,Catch 409 responses and trigger conflict handling. Extract server data from response and trigger conflict resolution flow.,HIGH,2,16,To Do,shared/offline-sync-manager.ts,4.B.1
Sprint 4: Offline Sync & Scalability,4.B.3,Implement Client-Wins Strategy,Force update with client data on conflict. Implement client-wins resolver and force update with client data.,HIGH,1.5,12,To Do,shared/offline-sync-manager.ts,4.B.2
Sprint 4: Offline Sync & Scalability,4.B.4,Implement Server-Wins Strategy,Accept server data and discard client changes. Implement server-wins resolver and accept server data.,HIGH,1.5,12,To Do,shared/offline-sync-manager.ts,4.B.2
Sprint 4: Offline Sync & Scalability,4.B.5,Implement Manual Strategy with Resolver,Allow custom merge logic for conflicts. Implement manual resolver and allow custom merge function.,HIGH,2,16,To Do,shared/offline-sync-manager.ts,4.B.2
Sprint 4: Offline Sync & Scalability,4.B.6,Add Conflict UI (Web + Mobile),Show conflict dialog with resolution options. Create ConflictResolutionDialog (web) and ConflictResolutionSheet (mobile).,HIGH,2,16,To Do,web/components/conflict-resolution-dialog.tsx; app/components/conflict-resolution-sheet.tsx,4.B.5
Sprint 4: Offline Sync & Scalability,4.B.7,Test Conflict Scenarios,"Test concurrent edits and conflict resolution. Test concurrent updates, client-wins, server-wins, and manual resolution.",HIGH,2,16,To Do,,4.B.6
Sprint 4: Offline Sync & Scalability,4.C.1,Design Filter Parameter Structure,Define query parameter format for filters. Design filter object structure and define parameter names.,HIGH,1,8,To Do,,
Sprint 4: Offline Sync & Scalability,4.C.2,Update getEvents() with Filters,"Add search, status, and date range filters. Implement Supabase query with filters.",HIGH,2,16,To Do,web/lib/services/events.ts,4.C.1
Sprint 4: Offline Sync & Scalability,4.C.3,Update getStaff() with Filters,"Add search, department, and status filters. Implement Supabase query with filters.",HIGH,1.5,12,To Do,web/lib/services/staff.ts,4.C.1
Sprint 4: Offline Sync & Scalability,4.C.4,Update getClients() with Filters,Add search and status filters. Implement Supabase query with filters.,HIGH,1.5,12,To Do,web/lib/services/clients.ts,4.C.1
Sprint 4: Offline Sync & Scalability,4.C.5,Add Pagination to All Queries,Implement limit/offset pagination. Add limit and offset parameters to all queries.,HIGH,2,16,To Do,web/lib/services/,4.C.2; 4.C.3; 4.C.4
Sprint 4: Offline Sync & Scalability,4.C.6,Update UI to Use Server Filters,"Replace client-side filtering with server calls. Update Events, Staff, and Clients pages.",HIGH,2,16,To Do,web/app/events/page.tsx; web/app/staff/page.tsx; web/app/clients/page.tsx,4.C.5
Sprint 4: Offline Sync & Scalability,4.C.7,Performance Testing with Large Datasets,"Test performance with 10,000+ records. Create test data and measure response times.",HIGH,2,16,To Do,,4.C.6
Sprint 4: Offline Sync & Scalability,4.D.1,Create event-schema.ts,Define Zod schema for event validation. Create EventSchema with all required fields and validation rules.,HIGH,1.5,12,To Do,web/lib/validation/event-schema.ts,
Sprint 4: Offline Sync & Scalability,4.D.2,Create staff-schema.ts,Define Zod schema for staff validation. Create StaffSchema with all required fields and validation rules.,HIGH,1,8,To Do,web/lib/validation/staff-schema.ts,
Sprint 4: Offline Sync & Scalability,4.D.3,Create client-schema.ts,Define Zod schema for client validation. Create ClientSchema with all required fields and validation rules.,HIGH,1,8,To Do,web/lib/validation/client-schema.ts,
Sprint 4: Offline Sync & Scalability,4.D.4,Create invoice-schema.ts,Define Zod schema for invoice validation. Create InvoiceSchema with all required fields and validation rules.,HIGH,1,8,To Do,web/lib/validation/invoice-schema.ts,
Sprint 4: Offline Sync & Scalability,4.D.5,Integrate Validation into Event Forms,Add Zod validation to event form. Validate on submit and show validation errors.,HIGH,2,16,To Do,web/components/event-form.tsx,4.D.1
Sprint 4: Offline Sync & Scalability,4.D.6,Integrate Validation into Staff Forms,Add Zod validation to staff form. Validate on submit and show validation errors.,HIGH,1.5,12,To Do,web/components/staff-form.tsx,4.D.2
Sprint 4: Offline Sync & Scalability,4.D.7,Integrate Validation into Client Forms,Add Zod validation to client form. Validate on submit and show validation errors.,HIGH,1.5,12,To Do,web/components/client-form.tsx,4.D.3
Sprint 4: Offline Sync & Scalability,4.D.8,Integrate Validation into Invoice Forms,Add Zod validation to invoice form. Validate on submit and show validation errors.,HIGH,1.5,12,To Do,web/components/invoice-form.tsx,4.D.4
Sprint 4: Offline Sync & Scalability,4.D.9,Test All Validation Rules,Test validation with valid and invalid inputs. Test all validation rules and error messages.,HIGH,2,16,To Do,,4.D.5; 4.D.6; 4.D.7; 4.D.8
